# Gnuplot File : forces of 3 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 28 56 
0.001	0 0 -9.81 0 0 0	0 0 -9.81 0 0 0	0 0 -9.81 0 0 0	
0.002	-38387.6 0 643.786 0 -8.73641 0	39.3743 0 183746 0 -0.000116262 0	38387.6 0 643.661 0 8.73805 0	
0.003	34980.4 0 -118.649 0 1.16784 0	0.221855 0 2741.52 0 -0.000794807 0	-34980.4 0 -118.462 0 -1.16975 0	
0.004	4686.15 0 227.015 0 -3.4725 0	1.14486 0 -3229.43 0 0.000164681 0	-4686.18 0 227.027 0 3.47181 0	
0.005	-951.418 0 396.661 0 -5.86639 0	2.75056 0 -1260.96 0 0.000433682 0	951.374 0 396.659 0 5.8666 0	
0.006	-320.013 0 138.022 0 -2.62128 0	2.82142 0 -315.554 0 5.14557e-06 0	319.925 0 138.019 0 2.62134 0	
0.007	-11.2959 0 4.95461 0 -0.962469 0	1.97457 0 -165.105 0 -0.000171884 0	11.2661 0 4.9557 0 0.962482 0	
0.008	9.92192 0 36.7592 0 -1.43389 0	1.32023 0 -226.021 0 -7.48478e-05 0	-9.90568 0 36.7576 0 1.43386 0	
0.009	8.32969 0 76.6775 0 -2.00904 0	1.07674 0 -248.445 0 -3.55821e-07 0	-8.27918 0 76.6773 0 2.00903 0	
0.01	7.93439 0 82.322 0 -2.14117 0	1.06511 0 -219.84 0 -8.09042e-05 0	-7.87919 0 82.3269 0 2.14123 0	
0.011	5.77374 0 76.1105 0 -2.12377 0	1.14722 0 -178.779 0 7.28787e-06 0	-5.70624 0 76.1056 0 2.1237 0	
0.012	4.3769 0 72.7157 0 -2.14772 0	1.25794 0 -142.401 0 0.000122714 0	-4.29546 0 72.7122 0 2.14766 0	
0.013	4.42393 0 72.4514 0 -2.21635 0	1.33471 0 -110.14 0 8.73357e-05 0	-4.35561 0 72.455 0 2.2164 0	
0.014	5.01884 0 72.7712 0 -2.29603 0	1.3886 0 -78.6323 0 5.52973e-05 0	-4.91952 0 72.7724 0 2.29604 0	
0.015	5.48164 0 72.7476 0 -2.37461 0	1.44347 0 -46.6956 0 8.4799e-05 0	-5.3409 0 72.7465 0 2.37459 0	
0.016	5.72901 0 72.5208 0 -2.45418 0	1.5041 0 -14.4882 0 0.000132696 0	-5.562 0 72.5201 0 2.45417 0	
0.017	5.90577 0 72.3131 0 -2.53807 0	1.56606 0 17.7108 0 0.000166303 0	-5.71734 0 72.3133 0 2.53806 0	
