# Gnuplot File : velocities of 3 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 28 56 
0.0004	0.0997706 0 0.00807231 0 -0.00174138 0	0 0 0.198 0 0 0	-0.0997706 0 0.00807231 0 0.00174138 0	
0.0008	-0.179425 0 0.0167 0 -0.00397243 0	0 0 0.197994 0 0 0	0.179425 0 0.0167 0 0.00397246 0	
0.0012	0.0616851 0 0.0203917 0 -0.00607296 0	0 0 0.197975 0 0 0	-0.0616851 0 0.0203918 0 0.00607287 0	
0.0016	0.0161146 0 0.0252437 0 -0.00888936 0	0 0 0.197944 0 0 0	-0.0161145 0 0.0252437 0 0.0088893 0	
0.002	0.000206258 0 0.0300795 0 -0.0123184 0	0 0 0.197901 0 0 0	-0.000206531 0 0.0300795 0 0.0123183 0	
0.0024	0.000816303 0 0.0294391 0 -0.0155928 0	0 0 0.197845 0 0 0	-0.000817363 0 0.0294391 0 0.0155927 0	
0.0028	0.00156927 0 0.0235025 0 -0.0185625 0	0 0 0.197776 0 0 0	-0.00157101 0 0.0235025 0 0.0185624 0	
0.0032	0.000974303 0 0.0167757 0 -0.0216294 0	0 0 0.197696 0 0 0	-0.000976402 0 0.0167757 0 0.0216294 0	
0.0036	0.000150778 0 0.0123941 0 -0.0250919 0	0 0 0.197603 0 0 0	-0.000152941 0 0.0123941 0 0.0250918 0	
0.004	-0.0003055 0 0.0103688 0 -0.0289214 0	0 0 0.197497 0 0 0	0.000303488 0 0.0103688 0 0.0289213 0	
0.0044	-0.00032572 0 0.00922364 0 -0.0329379 0	0 0 0.197379 0 0 0	0.00032394 0 0.00922367 0 0.0329379 0	
0.0048	-7.9573e-05 0 0.00775848 0 -0.0370051 0	0 0 0.197249 0 0 0	7.79694e-05 0 0.00775851 0 0.037005 0	
0.0052	0.00022496 0 0.00561342 0 -0.0410894 0	0 0 0.197106 0 0 0	-0.000226511 0 0.00561345 0 0.0410893 0	
0.0056	0.000446975 0 0.00299956 0 -0.0452261 0	0 0 0.196951 0 0 0	-0.000448576 0 0.0029996 0 0.0452261 0	
0.006	0.000541032 0 0.000261254 0 -0.0494671 0	0 0 0.196784 0 0 0	-0.000542714 0 0.00026129 0 0.0494671 0	
0.0064	0.000534908 0 -0.00238429 0 -0.053849 0	0 0 0.196604 0 0 0	-0.000536636 0 -0.00238426 0 0.053849 0	
0.0068	0.000487024 0 -0.00489261 0 -0.0583873 0	0 0 0.196412 0 0 0	-0.000488742 0 -0.00489258 0 0.0583873 0	
0.0072	0.000449017 0 -0.00732054 0 -0.0630833 0	0 0 0.196208 0 0 0	-0.000450695 0 -0.0073205 0 0.0630833 0	
0.0076	0.000446828 0 -0.00974034 0 -0.0679337 0	0 0 0.195991 0 0 0	-0.000448469 0 -0.00974031 0 0.0679336 0	
0.008	0.000480549 0 -0.0121926 0 -0.0729366 0	0 0 0.195762 0 0 0	-0.00048218 0 -0.0121926 0 0.0729365 0	
0.0084	0.00053527 0 -0.0146819 0 -0.0780927 0	0 0 0.195521 0 0 0	-0.00053692 0 -0.0146818 0 0.0780927 0	
0.0088	0.000593705 0 -0.0171936 0 -0.0834045 0	0 0 0.195268 0 0 0	-0.000595385 0 -0.0171936 0 0.0834045 0	
0.0092	0.000644494 0 -0.0197129 0 -0.0888748 0	0 0 0.195002 0 0 0	-0.000646198 0 -0.0197128 0 0.0888748 0	
0.0096	0.000684499 0 -0.0222326 0 -0.094506 0	0 0 0.194724 0 0 0	-0.000686211 0 -0.0222326 0 0.094506 0	
