# Gnuplot File : velocities of 3 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 28 56 
0.005	0.00798165 0 0.00165535 0 -0.0390799 0	0 0 0.195 0 0 0	-0.00798165 0 0.00165535 0 0.0390799 0	
0.01	-0.0149941 0 -0.0657411 0 -0.0645461 0	0 0 0.194074 0 0 0	0.0149826 0 -0.0657412 0 0.0645462 0	
0.015	0.00680941 0 -0.0680412 0 -0.136335 0	0 0 0.191304 0 0 0	-0.00679895 0 -0.0680412 0 0.136335 0	
0.02	0.00261884 0 -0.0934976 0 -0.233786 0	0 0 0.186718 0 0 0	-0.00263784 0 -0.0934975 0 0.233786 0	
0.025	0.00198265 0 -0.125008 0 -0.355086 0	0 0 0.180357 0 0 0	-0.00200735 0 -0.125008 0 0.355086 0	
0.03	0.00294677 0 -0.154423 0 -0.49644 0	0 0 0.172284 0 0 0	-0.00296556 0 -0.154423 0 0.496439 0	
0.035	0.004046 0 -0.18141 0 -0.648846 0	0 0 0.162574 0 0 0	-0.00405528 0 -0.181409 0 0.648845 0	
0.04	0.00525188 0 -0.205476 0 -0.798637 0	0 0 0.15132 0 0 0	-0.00524714 0 -0.205475 0 0.798634 0	
0.045	0.00660844 0 -0.225557 0 -0.925882 0	0 0 0.138628 0 0 0	-0.00658538 0 -0.225557 0 0.925878 0	
0.05	0.00804465 0 -0.241103 0 -1.0147 0	0 0 0.12462 0 0 0	-0.00800251 0 -0.241103 0 1.0147 0	
0.055	0.00942704 0 -0.251904 0 -1.05427 0	0 0 0.109428 0 0 0	-0.00936833 0 -0.251906 0 1.05427 0	
0.06	0.0105957 0 -0.258017 0 -1.04113 0	0 0 0.0931963 0 0 0	-0.0105279 0 -0.25802 0 1.04113 0	
0.065	0.011406 0 -0.259745 0 -0.979502 0	0 0 0.0760796 0 0 0	-0.0113379 0 -0.25975 0 0.979499 0	
0.07	0.0117595 0 -0.257542 0 -0.879419 0	0 0 0.0582402 0 0 0	-0.0116995 0 -0.257548 0 0.879419 0	
0.075	0.0116238 0 -0.251935 0 -0.754159 0	0 0 0.0398476 0 0 0	-0.0115781 0 -0.251941 0 0.754163 0	
0.08	0.0110339 0 -0.243531 0 -0.616753 0	0 0 0.0210765 0 0 0	-0.0110055 0 -0.243539 0 0.616763 0	
0.085	0.0100722 0 -0.232907 0 -0.478682 0	0 0 0.00210524 0 0 0	-0.0100614 0 -0.232914 0 0.478697 0	
0.09	0.00882885 0 -0.220384 0 -0.347947 0	-0 -0 -0.016886 -0 -0 -0	-0.00883397 0 -0.220392 0 0.347966 0	
0.095	0.00741652 0 -0.206571 0 -0.232147 0	-0 -0 -0.0357169 -0 -0 -0	-0.00743563 0 -0.206579 0 0.23217 0	
0.1	0.00592613 0 -0.191835 0 -0.134392 0	-0 -0 -0.0542086 -0 -0 -0	-0.00595734 0 -0.191845 0 0.134417 0	
0.105	0.00442267 0 -0.176467 0 -0.0556025 0	-0 -0 -0.0721853 -0 -0 -0	-0.0044638 0 -0.176477 0 0.05563 0	
0.11	0.00294717 0 -0.160723 0 0.00491741 0	-0 -0 -0.0894763 -0 -0 -0	-0.00299762 0 -0.160734 0 -0.00488922 0	
0.115	0.00152447 0 -0.144801 0 0.0494793 0	-0 -0 -0.105917 -0 -0 -0	-0.00158011 0 -0.144812 0 -0.0494512 0	
0.12	0.000166104 0 -0.128864 0 0.0813128 0	-0 -0 -0.121352 -0 -0 -0	-0.000225608 0 -0.128875 0 -0.0812852 0	
0.125	-0.0011166 0 -0.113067 0 0.104283 0	-0 -0 -0.135635 -0 -0 -0	0.00105613 0 -0.113079 0 -0.104256 0	
0.13	-0.00231317 0 -0.0975922 0 0.122606 0	-0 -0 -0.148629 -0 -0 -0	0.00225503 0 -0.0976048 0 -0.12258 0	
0.135	-0.00341681 0 -0.0824927 0 0.140291 0	-0 -0 -0.160211 -0 -0 -0	0.00336361 0 -0.0825059 0 -0.140266 0	
0.14	-0.00440854 0 -0.0679976 0 0.160098 0	-0 -0 -0.170271 -0 -0 -0	0.00436234 0 -0.0680114 0 -0.160073 0	
